"State","Actual_Total_Respondents","Estimated_Total_Respondents"
"Connecticut",37369,37043
"Maine",14523,10187
"Massachusetts",73077,124340
"New Hampshire",14077,15064
"Rhode Island",10401,10928
"Vermont",6860,8088
"Delaware",9641,9384
"New Jersey",93166,88779
"New York",203891,174656
"Pennsylvania",132605,100015
"Illinois",128046,89952
"Indiana",69843,38277
"Michigan",101512,61182
"Ohio",120666,74888
"Wisconsin",61967,31672
"Iowa",33586,15928
"Kansas",29940,19818
"Minnesota",58984,35314
"Missouri",64551,38339
"Nebraska",19989,9446
"North Dakota",8107,3704
"South Dakota",9296,4383
"Virginia",88761,94521
"Alabama",51580,28399
"Arkansas",31288,15496
"Florida",217799,168606
"Georgia",109349,89582
"Louisiana",45040,27782
"Mississippi",29796,16237
"North Carolina",109230,87729
"South Carolina",54651,39944
"Texas",292919,198549
"Kentucky",46605,27659
"Maryland",62442,99274
"Oklahoma",39445,17348
"Tennessee",72374,51922
"West Virginia",18135,9816
"Arizona",74153,55317
"Colorado",59841,63652
"Idaho",19884,10804
"Montana",11116,6976
"Nevada",30749,17410
"New Mexico",20243,21608
"Utah",35537,26424
"Wyoming",5962,4445
"California",391171,391171
"Oregon",43708,39944
"Washington",80818,73777
"Alaska",6972,3149
"Hawaii",14995,13212
"District of Columbia",6718,19200
